61,27343
93,5820
96,10030
93,5820
93,5820
184,48759
281,10844
272,15364
281,10844
281,10844
347,73583
586,10044
578,13812
586,10044
586,10044
615,120997
1037,14785
1029,22107
1037,14785
1037,14785
1004,160431
1682,15021
1672,24665
1682,15021
1682,15021
1488,235102
2535,16421
2525,30133
2535,16421
2535,16421
2160,279755
3606,20083
3597,30536
3606,20083
3606,20083
2988,359726
4972,20464
4963,33037
4972,20464
4972,20464
4675,-1
6659,-1
6650,-1
6659,-1
6659,-1
5875,548633
8658,27660
8649,50901
8658,27660
8658,27660
